states,year,Life Expectancy,Crime Rate Share,safe,state code,GDP,type,value
Andaman & Nicobar Island,2010,72,0.3,yes,AN,"4,343",Death Rate,4.3
Andhra Pradesh,2010,66,5.9,no,AD,"3,19,863",Death Rate,7.6
Arunanchal Pradesh,2010,76,1.5,yes,AR,"9,021",Death Rate,5.9
Assam,2010,63,1.6,yes,AS,"1,12,687",Death Rate,8.2
Bihar,2010,66,1.8,yes,BR,"2,03,554",Death Rate,6.8
Chandigarh,2010,80,1.8,yes,CH,"20,013",Death Rate,3.9
Chhattisgarh,2010,80,1.9,yes,CG,"1,19,419",Death Rate,8
NCT of Delhi,2010,82,8.9,no,DL,"2,52,752",Death Rate,4.2
Goa,2010,78,7.7,no,GA,"33,605",Death Rate,6.6
Gujarat,2010,69,5.9,no,GJ,"5,21,518",Death Rate,6.7
Haryana,2010,70,1.1,yes,HR,"2,60,621",Death Rate,6.6
Himachal Pradesh,2010,72,1.2,yes,HP,"57,452",Death Rate,6.9
Jammu & Kashmir,2010,71,9.7,no,JK,"58,072",Death Rate,5.7
Jharkhand,2010,75,2.2,yes,JH,"1,27,281",Death Rate,7
Karnataka,2010,70,4.6,moderate,KA,"41,070",Death Rate,7.1
Kerala,2010,77,8.8,no,KL,"2,63,773",Death Rate,7
Madhya Pradesh,2010,64,4.2,moderate,MP,"2,63,395",Death Rate,8.3
Maharashtra,2010,72,6.9,no,MH,"10,49,150",Death Rate,6.5
Manipur,2010,74,1.4,yes,MN,"9,137",Death Rate,4.2
Meghalaya,2010,75,1.3,yes,ML,"14,582",Death Rate,7.9
Mizoram,2010,75,0.1,yes,MZ,"6,387",Death Rate,4.5
Nagaland,2010,70,0.1,yes,NL,"11,759",Death Rate,3.6
Odisha,2010,64,1.6,yes,OD,"1,97,529",Death Rate,8.6
Puducherry,2010,82,0.2,yes,PY,"13,091",Death Rate,7.4
Punjab,2010,72,1.1,yes,PB,"2,26,204",Death Rate,7
Rajasthan,2010,68,3.5,moderate,RJ,"3,38,348",Death Rate,6.7
Sikkim,2010,83,1.2,yes,SK,"7,411",Death Rate,5.6
Tamil Nadu,2010,71,4.6,moderate,TN,"5,84,896",Death Rate,7.6
Telangana,2010,85,NA,NA,TS,"2,63,897",Death Rate,NA
Tripura,2010,82,0.5,yes,TR,"17,867",Death Rate,5
Uttar Pradesh,2010,63,1.4,yes,UP,"6,00,285",Death Rate,8.1
Uttarakhand,2010,82,1.7,yes,UK,"83,969",Death Rate,6.3
West Bengal,2010,69,3.7,moderate,WB,"4,60,958",Death Rate,6
Andaman & Nicobar Island,2010,,,,,,Birth Rate,15.6
Andhra Pradesh,2010,,,,,,Birth Rate,17.9
Arunanchal Pradesh,2010,,,,,,Birth Rate,20.5
Assam,2010,,,,,,Birth Rate,23.2
Bihar,2010,,,,,,Birth Rate,28.1
Chandigarh,2010,,,,,,Birth Rate,15.6
Chhattisgarh,2010,,,,,,Birth Rate,25.3
Daman & Diu,2010,,,,,,Birth Rate,26.6
NCT of Delhi,2010,,,,,,Birth Rate,17.8
Goa,2010,,,,,,Birth Rate,13.2
Gujarat,2010,,,,,,Birth Rate,21.8
Haryana,2010,,,,,,Birth Rate,22.3
Himachal Pradesh,2010,,,,,,Birth Rate,16.9
Jammu & Kashmir,2010,,,,,,Birth Rate,18.3
Jharkhand,2010,,,,,,Birth Rate,25.3
Karnataka,2010,,,,,,Birth Rate,19.2
Kerala,2010,,,,,,Birth Rate,14.8
Lakshadweep,2010,,,,,,Birth Rate,14.3
Madhya Pradesh,2010,,,,,,Birth Rate,27.3
Maharashtra,2010,,,,,,Birth Rate,17.1
Manipur,2010,,,,,,Birth Rate,14.9
Meghalaya,2010,,,,,,Birth Rate,24.5
Mizoram,2010,,,,,,Birth Rate,17.1
Nagaland,2010,,,,,,Birth Rate,16.8
Odisha,2010,,,,,,Birth Rate,20.5
Puducherry,2010,,,,,,Birth Rate,16.7
Punjab,2010,,,,,,Birth Rate,16.6
Rajasthan,2010,,,,,,Birth Rate,26.7
Sikkim,2010,,,,,,Birth Rate,17.8
Tamil Nadu,2010,,,,,,Birth Rate,15.9
Telangana,2010,,,,,,Birth Rate,15.4
Tripura,2010,,,,,,Birth Rate,14.9
Uttar Pradesh,2010,,,,,,Birth Rate,28.3
Uttarakhand,2010,,,,,,Birth Rate,19.3
West Bengal,2010,,,,,,Birth Rate,16.8
Andaman & Nicobar Island,2011,75,,,AN,"3,978",Death Rate,4.6
Andhra Pradesh,2011,79,,,AD,"3,79,402",Death Rate,7.5
Arunanchal Pradesh,2011,66,,,AR,"11,063",Death Rate,5.8
Assam,2011,62,,,AS,"1,43,175",Death Rate,8
Bihar,2011,66,,,BR,"2,47,144",Death Rate,6.7
Chandigarh,2011,82,,,CH,"18,768",Death Rate,4.1
Chhattisgarh,2011,84,,,CG,"1,58,074",Death Rate,7.9
NCT of Delhi,2011,75,,,DL,"3,43,798",Death Rate,4.3
Goa,2011,82,,,GA,"42,367",Death Rate,6.7
Gujarat,2011,67,,,GJ,"6,15,606",Death Rate,6.7
Haryana,2011,67,,,HR,"2,97,539",Death Rate,6.5
Himachal Pradesh,2011,70,,,HP,"72,720",Death Rate,6.7
Jammu & Kashmir,2011,71,,,JK,"78,256",Death Rate,5.5
Jharkhand,2011,86,,,JH,"1,50,918",Death Rate,6.8
Karnataka,2011,68,,,KA,"6,06,048",Death Rate,7.1
Kerala,2011,74,,,KL,"3,64,048",Death Rate,7
Madhya Pradesh,2011,63,,,MP,"3,15,562",Death Rate,8.2
Maharashtra,2011,70,,,MH,"12,80,369",Death Rate,6.3
Manipur,2011,78,,,MN,"12,915",Death Rate,4.1
Meghalaya,2011,77,,,ML,"19,918",Death Rate,7.8
Mizoram,2011,76,,,MZ,"7,259",Death Rate,4.4
Nagaland,2011,75,,,NL,"12,177",Death Rate,3.3
Odisha,2011,64,,,OD,"2,30,987",Death Rate,8.5
Puducherry,2011,84,,,PY,"16,818",Death Rate,7.2
Punjab,2011,70,,,PB,"2,66,628",Death Rate,6.8
Rajasthan,2011,67,,,RJ,"4,34,837",Death Rate,6.7
Sikkim,2011,75,,,SK,"11,165",Death Rate,5.6
Tamil Nadu,2011,69,,,TN,"7,51,486",Death Rate,7.4
Telangana,2011,75,,,TS,"3,59,434",Death Rate,NA
Tripura,2011,82,,,TR,"19,208",Death Rate,5
Uttar Pradesh,2011,63,,,UP,"7,24,050",Death Rate,7.9
Uttarakhand,2011,85,,,UK,"1,15,328",Death Rate,6.2
West Bengal,2011,69,,,WB,"5,20,485",Death Rate,6.2
Andaman & Nicobar Island,2011,,,,,,Birth Rate,15.1
Andhra Pradesh,2011,,,,,,Birth Rate,17.5
Arunanchal Pradesh,2011,,,,,,Birth Rate,19.8
Assam,2011,,,,,,Birth Rate,22.8
Bihar,2011,,,,,,Birth Rate,27.7
Chandigarh,2011,,,,,,Birth Rate,15
Chhattisgarh,2011,,,,,,Birth Rate,24.9
Daman & Diu,2011,,,,,,Birth Rate,18.4
NCT of Delhi,2011,,,,,,Birth Rate,17.5
Goa,2011,,,,,,Birth Rate,13.3
Gujarat,2011,,,,,,Birth Rate,21.3
Haryana,2011,,,,,,Birth Rate,21.8
Himachal Pradesh,2011,,,,,,Birth Rate,16.5
Jammu & Kashmir,2011,,,,,,Birth Rate,17.8
Jharkhand,2011,,,,,,Birth Rate,25
Karnataka,2011,,,,,,Birth Rate,18.8
Kerala,2011,,,,,,Birth Rate,15.2
Lakshadweep,2011,,,,,,Birth Rate,14.7
Madhya Pradesh,2011,,,,,,Birth Rate,26.9
Maharashtra,2011,,,,,,Birth Rate,16.7
Manipur,2011,,,,,,Birth Rate,14.4
Meghalaya,2011,,,,,,Birth Rate,24.1
Mizoram,2011,,,,,,Birth Rate,16.6
Nagaland,2011,,,,,,Birth Rate,16.1
Odisha,2011,,,,,,Birth Rate,20.1
Puducherry,2011,,,,,,Birth Rate,16.1
Punjab,2011,,,,,,Birth Rate,16.2
Rajasthan,2011,,,,,,Birth Rate,26.2
Sikkim,2011,,,,,,Birth Rate,17.6
Tamil Nadu,2011,,,,,,Birth Rate,15.9
Telangana,2011,,,,,,Birth Rate,14.7
Tripura,2011,,,,,,Birth Rate,14.3
Uttar Pradesh,2011,,,,,,Birth Rate,27.8
Uttarakhand,2011,,,,,,Birth Rate,18.9
West Bengal,2011,,,,,,Birth Rate,16.3
Andaman & Nicobar Island,2012,80,0,yes,AN,"4,421",Death Rate,4.6
Andhra Pradesh,2012,67,8.1,no,AD,"4,11,404",Death Rate,7.4
Arunanchal Pradesh,2012,70,0.1,yes,AR,"12,547",Death Rate,5.8
Assam,2012,63,3.3,moderate,AS,"1,56,864",Death Rate,7.9
Bihar,2012,67,6.1,no,BR,"2,82,368",Death Rate,6.6
Chandigarh,2012,74,0.2,yes,CH,"21,609",Death Rate,4
Chhattisgarh,2012,75,2.3,yes,CG,"1,77,511",Death Rate,7.9
NCT of Delhi,2012,84,2.3,yes,DL,"3,91,388",Death Rate,4.2
Goa,2012,78,0.2,yes,GA,"38,120",Death Rate,6.6
Gujarat,2012,68,5.5,no,GJ,"7,24,495",Death Rate,6.6
Haryana,2012,68,2.6,moderate,HR,"3,47,032",Death Rate,6.4
Himachal Pradesh,2012,71,0.5,yes,HP,"82,820",Death Rate,6.7
Jammu & Kashmir,2012,71,1,yes,JK,"87,138",Death Rate,5.4
Jharkhand,2012,70,1.7,yes,JH,"1,74,724",Death Rate,6.8
Karnataka,2012,68,5.6,no,KA,"6,95,413",Death Rate,7.1
Kerala,2012,75,6.7,no,KL,"4,12,313",Death Rate,6.9
Madhya Pradesh,2012,63,9.2,no,MP,"3,80,925",Death Rate,8.1
Maharashtra,2012,71,8.5,no,MH,"14,59,629",Death Rate,6.3
Manipur,2012,74,0.2,yes,MN,"13,743",Death Rate,4
Meghalaya,2012,76,0.1,yes,ML,"21,872",Death Rate,7.6
Mizoram,2012,75,0.1,yes,MZ,"8,362",Death Rate,4.4
Nagaland,2012,76,0,yes,NL,"14,121",Death Rate,3.2
Odisha,2012,64,2.8,yes,OD,"2,61,700",Death Rate,8.5
Puducherry,2012,80,0.2,yes,PY,"2,97,734",Death Rate,7.1
Punjab,2012,70,1.5,yes,PB,"2,97,73,382",Death Rate,6.8
Rajasthan,2012,67,7.2,no,RJ,"4,93,551",Death Rate,6.6
Sikkim,2012,80,0,yes,SK,"12,338",Death Rate,5.4
Tamil Nadu,2012,70,8.4,no,TN,"8,54,825",Death Rate,7.4
Telangana,2012,78,NA,,TS,"4,01,594",Death Rate,NA
Tripura,2012,76,0.3,yes,TR,"21,663",Death Rate,4.8
Uttar Pradesh,2012,64,8.3,no,UP,"8,22,393",Death Rate,7.7
Uttarakhand,2012,79,0.4,yes,UK,"1,31,613",Death Rate,6.1
West Bengal,2012,70,6.8,no,WB,"5,91,464",Death Rate,6.3
Andaman & Nicobar Island,2012,,,,,,Birth Rate,15.1
Andhra Pradesh,2012,,,,,,Birth Rate,17.5
Arunanchal Pradesh,2012,,,,,,Birth Rate,19.8
Assam,2012,,,,,,Birth Rate,22.8
Bihar,2012,,,,,,Birth Rate,27.7
Chandigarh,2012,,,,,,Birth Rate,15
Chhattisgarh,2012,,,,,,Birth Rate,24.9
Daman & Diu,2012,,,,,,Birth Rate,18.4
NCT of Delhi,2012,,,,,,Birth Rate,17.5
Goa,2012,,,,,,Birth Rate,13.3
Gujarat,2012,,,,,,Birth Rate,21.3
Haryana,2012,,,,,,Birth Rate,21.8
Himachal Pradesh,2012,,,,,,Birth Rate,16.5
Jammu & Kashmir,2012,,,,,,Birth Rate,17.8
Jharkhand,2012,,,,,,Birth Rate,25
Karnataka,2012,,,,,,Birth Rate,18.8
Kerala,2012,,,,,,Birth Rate,15.2
Lakshadweep,2012,,,,,,Birth Rate,14.7
Madhya Pradesh,2012,,,,,,Birth Rate,26.9
Maharashtra,2012,,,,,,Birth Rate,16.7
Manipur,2012,,,,,,Birth Rate,14.4
Meghalaya,2012,,,,,,Birth Rate,24.1
Mizoram,2012,,,,,,Birth Rate,16.6
Nagaland,2012,,,,,,Birth Rate,16.1
Odisha,2012,,,,,,Birth Rate,20.1
Puducherry,2012,,,,,,Birth Rate,16.1
Punjab,2012,,,,,,Birth Rate,16.2
Rajasthan,2012,,,,,,Birth Rate,26.2
Sikkim,2012,,,,,,Birth Rate,17.6
Tamil Nadu,2012,,,,,,Birth Rate,15.9
Telangana,2012,,,,,,Birth Rate,16
Tripura,2012,,,,,,Birth Rate,14.3
Uttar Pradesh,2012,,,,,,Birth Rate,27.8
Uttarakhand,2012,,,,,,Birth Rate,18.9
West Bengal,2012,,,,,,Birth Rate,16.3
Andaman & Nicobar Island,2013,79,0,yes,AN,"5,023",Death Rate,4.6
Andhra Pradesh,2013,68,8.2,no,AD,"4,64,272",Death Rate,7.3
Arunanchal Pradesh,2013,85,0.1,yes,AR,"14,581",Death Rate,6.6
Assam,2013,63,3.3,moderate,AS,"1,77,745",Death Rate,7.8
Bihar,2013,68,6.3,no,BR,"3,17,101",Death Rate,6.6
Chandigarh,2013,70,0.2,yes,CH,"24,822",Death Rate,4
Chhattisgarh,2013,83,2.1,yes,CG,"2,06,833",Death Rate,7.9
NCT of Delhi,2013,81,3,moderate,DL,"4,43,960",Death Rate,4.1
Goa,2013,82,0.2,yes,GA,"35,921",Death Rate,6.6
Gujarat,2013,68,5.9,no,GJ,"8,07,623",Death Rate,6.5
Haryana,2013,68,2.7,moderate,HR,"3,99,268",Death Rate,6.3
Himachal Pradesh,2013,71,0.5,yes,HP,"94,764",Death Rate,6.7
Jammu & Kashmir,2013,72,1,yes,JK,"95,619",Death Rate,5.3
Jharkhand,2013,78,1.8,yes,JH,"1,88,567",Death Rate,6.8
Karnataka,2013,69,5.2,no,KA,"8,16,666",Death Rate,7
Kerala,2013,75,6.7,no,KL,"4,65,041",Death Rate,6.9
Madhya Pradesh,2013,64,8.6,no,MP,"4,39,483",Death Rate,8
Maharashtra,2013,71,8.9,no,MH,"16,49,647",Death Rate,6.2
Manipur,2013,85,0.1,yes,MN,"16,182",Death Rate,4
Meghalaya,2013,87,0.1,yes,ML,"22,938",Death Rate,7.6
Mizoram,2013,75,0.1,yes,MZ,"10,293",Death Rate,4.3
Nagaland,2013,71,0,yes,NL,"16,612",Death Rate,3.1
Odisha,2013,65,2.7,moderate,OD,"2,96,475",Death Rate,8.4
Puducherry,2013,79,0.1,yes,PY,"21,870",Death Rate,7
Punjab,2013,71,1.4,yes,PB,"3,32,147",Death Rate,6.7
Rajasthan,2013,68,7.4,no,RJ,"5,61,031",Death Rate,6.5
Sikkim,2013,80,0,yes,SK,"13,862",Death Rate,5.2
Tamil Nadu,2013,70,7.7,no,TN,"9,68,530",Death Rate,7.3
Telangana,2013,75,NA,,TS,"4,51,580",Death Rate,NA
Tripura,2013,83,0.2,yes,TR,"25,593",Death Rate,4.7
Uttar Pradesh,2013,64,8.6,no,UP,"9,40,356",Death Rate,7.7
Uttarakhand,2013,84,0.4,yes,UK,"1,49,074",Death Rate,6.1
West Bengal,2013,70,6.4,no,WB,"6,76,848",Death Rate,6.4
Andaman & Nicobar Island,2013,,,,,,Birth Rate,14.6
Andhra Pradesh,2013,,,,,,Birth Rate,17.4
Arunanchal Pradesh,2013,,,,,,Birth Rate,19.3
Assam,2013,,,,,,Birth Rate,22.4
Bihar,2013,,,,,,Birth Rate,27.6
Chandigarh,2013,,,,,,Birth Rate,14.7
Chhattisgarh,2013,,,,,,Birth Rate,24.4
Daman & Diu,2013,,,,,,Birth Rate,17.9
NCT of Delhi,2013,,,,,,Birth Rate,17.2
Goa,2013,,,,,,Birth Rate,13
Gujarat,2013,,,,,,Birth Rate,20.8
Haryana,2013,,,,,,Birth Rate,21.3
Himachal Pradesh,2013,,,,,,Birth Rate,16
Jammu & Kashmir,2013,,,,,,Birth Rate,17.5
Jharkhand,2013,,,,,,Birth Rate,24.6
Karnataka,2013,,,,,,Birth Rate,18.3
Kerala,2013,,,,,,Birth Rate,14.7
Lakshadweep,2013,,,,,,Birth Rate,14.8
Madhya Pradesh,2013,,,,,,Birth Rate,26.3
Maharashtra,2013,,,,,,Birth Rate,16.5
Manipur,2013,,,,,,Birth Rate,14.7
Meghalaya,2013,,,,,,Birth Rate,23.9
Mizoram,2013,,,,,,Birth Rate,16.1
Nagaland,2013,,,,,,Birth Rate,15.4
Odisha,2013,,,,,,Birth Rate,19.6
Puducherry,2013,,,,,,Birth Rate,15.7
Punjab,2013,,,,,,Birth Rate,15.7
Rajasthan,2013,,,,,,Birth Rate,25.6
Sikkim,2013,,,,,,Birth Rate,17.1
Tamil Nadu,2013,,,,,,Birth Rate,15.6
Telangana,2013,,,,,,Birth Rate,16.9
Tripura,2013,,,,,,Birth Rate,13.7
Uttar Pradesh,2013,,,,,,Birth Rate,27.2
Uttarakhand,2013,,,,,,Birth Rate,18.2
West Bengal,2013,,,,,,Birth Rate,16
Andaman & Nicobar Island,2014,64,0,yes,AN,"5,477",Death Rate,4.6
Andhra Pradesh,2014,69,2.2,yes,AD,"5,24,976",Death Rate,7.3
Arunanchal Pradesh,2014,73,0.2,yes,AR,"17,959",Death Rate,6.6
Assam,2014,64,4.4,no,AS,"1,95,723",Death Rate,7.2
Bihar,2014,68,10.4,no,BR,"3,42,951",Death Rate,6.2
Chandigarh,2014,76,0.1,yes,CH,"26,549",Death Rate,4
Chhattisgarh,2014,65,2.1,yes,CG,"2,21,118",Death Rate,7.7
NCT of Delhi,2014,73,5.7,no,DL,"4,94,803",Death Rate,3.8
Goa,2014,79,0.2,yes,GA,"47,814",Death Rate,6.6
Gujarat,2014,69,2.6,moderate,GJ,"9,21,773",Death Rate,6.2
Haryana,2014,69,3,moderate,HR,"4,37,145",Death Rate,6.1
Himachal Pradesh,2014,72,0.4,yes,HP,"1,03,772",Death Rate,6.7
Jammu & Kashmir,2014,73,1.1,yes,JK,"98,370",Death Rate,5.1
Jharkhand,2014,67,2.6,moderate,JH,"2,18,525",Death Rate,5.9
Karnataka,2014,69,5.4,no,KA,"9,13,923",Death Rate,6.8
Kerala,2014,75,3.5,moderate,KL,"5,12,564",Death Rate,6.6
Madhya Pradesh,2014,64,7.1,no,MP,"4,79,939",Death Rate,7.8
Maharashtra,2014,72,9.8,no,MH,"17,79,138",Death Rate,6
Manipur,2014,84,0.2,yes,MN,"18,129",Death Rate,4.3
Meghalaya,2014,82,0.2,yes,ML,"23,235",Death Rate,7.5
Mizoram,2014,85,0.1,yes,MZ,"13,509",Death Rate,4.3
Nagaland,2014,89,0.1,yes,NL,"18,401",Death Rate,3.1
Odisha,2014,66,4.2,moderate,OD,"3,14,250",Death Rate,7.9
Puducherry,2014,80,0,yes,PY,"22,573",Death Rate,6.6
Punjab,2014,72,1.5,yes,PB,"3,55,102",Death Rate,6.4
Rajasthan,2014,68,5,no,RJ,"6,15,642",Death Rate,6.4
Sikkim,2014,75,0.1,yes,SK,"15,407",Death Rate,5.1
Tamil Nadu,2014,71,3.8,moderate,TN,"10,72,678",Death Rate,7
Telangana,2014,70,2,yes,TS,"5,05,849",Death Rate,6.7
Tripura,2014,69,0.3,yes,TR,"29,533",Death Rate,4.7
Uttar Pradesh,2014,64,12.7,no,UP,"10,11,790",Death Rate,7.4
Uttarakhand,2014,72,0.6,yes,UK,"1,61,439",Death Rate,6
West Bengal,2014,70,8.4,no,WB,"7,18,082",Death Rate,6.1
Andaman & Nicobar Island,2014,,,,,,Birth Rate,14.7
Andhra Pradesh,2014,,,,,,Birth Rate,17
Arunanchal Pradesh,2014,,,,,,Birth Rate,19.2
Assam,2014,,,,,,Birth Rate,22.4
Bihar,2014,,,,,,Birth Rate,25.9
Chandigarh,2014,,,,,,Birth Rate,14.3
Chhattisgarh,2014,,,,,,Birth Rate,23.4
Daman & Diu,2014,,,,,,Birth Rate,17.3
NCT of Delhi,2014,,,,,,Birth Rate,16.8
Goa,2014,,,,,,Birth Rate,12.9
Gujarat,2014,,,,,,Birth Rate,20.6
Haryana,2014,,,,,,Birth Rate,21.2
Himachal Pradesh,2014,,,,,,Birth Rate,16.4
Jammu & Kashmir,2014,,,,,,Birth Rate,16.8
Jharkhand,2014,,,,,,Birth Rate,23.8
Karnataka,2014,,,,,,Birth Rate,18.1
Kerala,2014,,,,,,Birth Rate,14.8
Lakshadweep,2014,,,,,,Birth Rate,14
Madhya Pradesh,2014,,,,,,Birth Rate,25.7
Maharashtra,2014,,,,,,Birth Rate,16.5
Manipur,2014,,,,,,Birth Rate,14.6
Meghalaya,2014,,,,,,Birth Rate,24.1
Mizoram,2014,,,,,,Birth Rate,16.4
Nagaland,2014,,,,,,Birth Rate,15.3
Odisha,2014,,,,,,Birth Rate,19.4
Puducherry,2014,,,,,,Birth Rate,14.6
Punjab,2014,,,,,,Birth Rate,15.5
Rajasthan,2014,,,,,,Birth Rate,25
Sikkim,2014,,,,,,Birth Rate,17.1
Tamil Nadu,2014,,,,,,Birth Rate,15.4
Telangana,2014,,,,,,Birth Rate,18
Tripura,2014,,,,,,Birth Rate,14.9
Uttar Pradesh,2014,,,,,,Birth Rate,27
