states,year,alcohol_deaths,latitude,longitude,state_code,speed_deaths,state_code
Andaman & Nicobar Island,2010,1,11.66702557,92.73598262,AN,18,AN
Andhra Pradesh,2010,970,14.7504291,78.57002559,AD,5211,AD
Arunanchal Pradesh,2010,5,27.10039878,93.61660071,AR,42,AR
Assam,2010,160,26.7499809,94.21666744,AS,1400,AS
Bihar,2010,350,25.78541445,87.4799727,BR,1452,BR
Chandigarh,2010,0,30.71999697,76.78000565,CH,17,CH
Chhattisgarh,2010,283,22.09042035,82.15998734,CG,1382,CG
NCT of Delhi,2010,0,28.6699929,77.23000403,DL,0,DL
Goa,2010,0,15.491997,73.81800065,GA,214,GA
Gujarat,2010,33,22.2587,71.1924,GJ,4898,GJ
Haryana,2010,142,28.45000633,77.01999101,HR,2089,HR
Himachal Pradesh,2010,62,31.10002545,77.16659704,HP,619,HP
Jammu & Kashmir,2010,15,34.29995933,74.46665849,JK,570,JK
Jharkhand,2010,263,23.80039349,86.41998572,JH,1189,JH
Karnataka,2010,69,12.57038129,76.91999711,KA,6657,KA
Kerala,2010,11,8.900372741,76.56999263,KL,2462,KL
Madhya Pradesh,2010,947,21.30039105,76.13001949,MP,4471,MP
Maharashtra,2010,620,19.25023195,73.16017493,MH,7301,MH
Manipur,2010,4,24.79997072,93.95001705,MN,20,MN
Meghalaya,2010,6,25.57049217,91.8800142,ML,84,ML
Mizoram,2010,15,23.71039899,92.72001461,MZ,29,MZ
Nagaland,2010,1,25.6669979,94.11657019,NL,0,NL
Odisha,2010,329,19.82042971,85.90001746,OD,1463,OD
Puducherry,2010,0,11.93499371,79.83000037,PY,239,PY
Punjab,2010,299,31.51997398,75.98000281,PB,1336,PB
Rajasthan,2010,711,26.44999921,74.63998124,RJ,4451,RJ
Sikkim,2010,13,27.3333303,88.6166475,SK,9,SK
Tamil Nadu,2010,431,12.92038576,79.15004187,TN,6323,TN
Telangana,2010,0,18.1124,79.0193,TS,0,TS
Tripura,2010,0,23.83540428,91.27999914,TR,163,TR
Uttar Pradesh,2010,1123,27.59998069,78.05000565,UP,1468,UP
Uttarakhand,2010,0,30.32040895,78.05000565,UK,456,UK
West Bengal,2010,3065,22.58039044,88.32994665,WB,143,WB
Andaman & Nicobar Island,2011,1,11.66702557,92.73598262,AN,16,AN
Andhra Pradesh,2011,778,14.7504291,78.57002559,AD,4560,AD
Arunanchal Pradesh,2011,3,27.10039878,93.61660071,AR,72,AR
Assam,2011,302,26.7499809,94.21666744,AS,1233,AS
Bihar,2011,754,25.78541445,87.4799727,BR,1748,BR
Chandigarh,2011,0,30.71999697,76.78000565,CH,0,CH
Chhattisgarh,2011,85,22.09042035,82.15998734,CG,1431,CG
NCT of Delhi,2011,8,28.6699929,77.23000403,DL,365,DL
Goa,2011,0,15.491997,73.81800065,GA,240,GA
Gujarat,2011,27,22.2587,71.1924,GJ,5385,GJ
Haryana,2011,143,28.45000633,77.01999101,HR,2090,HR
Himachal Pradesh,2011,31,31.10002545,77.16659704,HP,696,HP
Jammu & Kashmir,2011,21,34.29995933,74.46665849,JK,699,JK
Jharkhand,2011,485,23.80039349,86.41998572,JH,924,JH
Karnataka,2011,136,12.57038129,76.91999711,KA,5205,KA
Kerala,2011,12,8.900372741,76.56999263,KL,2606,KL
Madhya Pradesh,2011,810,21.30039105,76.13001949,MP,4300,MP
Maharashtra,2011,479,19.25023195,73.16017493,MH,8549,MH
Manipur,2011,30,24.79997072,93.95001705,MN,22,MN
Meghalaya,2011,27,25.57049217,91.8800142,ML,67,ML
Mizoram,2011,10,23.71039899,92.72001461,MZ,10,MZ
Nagaland,2011,3,25.6669979,94.11657019,NL,0,NL
Odisha,2011,480,19.82042971,85.90001746,OD,1408,OD
Puducherry,2011,1,11.93499371,79.83000037,PY,229,PY
Punjab,2011,158,31.51997398,75.98000281,PB,1674,PB
Rajasthan,2011,530,26.44999921,74.63998124,RJ,4650,RJ
Sikkim,2011,3,27.3333303,88.6166475,SK,7,SK
Tamil Nadu,2011,575,12.92038576,79.15004187,TN,6412,TN
Telangana,2011,0,18.1124,79.0193,TS,0,TS
Tripura,2011,7,23.83540428,91.27999914,TR,168,TR
Uttar Pradesh,2011,4653,27.59998069,78.05000565,UP,4629,UP
Uttarakhand,2011,0,30.32040895,78.05000565,UK,466,UK
West Bengal,2011,0,22.58039044,88.32994665,WB,0,WB
Andaman & Nicobar Island,2012,0,11.66702557,92.73598262,AN,25,AN
Andhra Pradesh,2012,424,14.7504291,78.57002559,AD,6201,AD
Arunanchal Pradesh,2012,14,27.10039878,93.61660071,AR,15,AR
Assam,2012,121,26.7499809,94.21666744,AS,1430,AS
Bihar,2012,805,25.78541445,87.4799727,BR,1266,BR
Chandigarh,2012,5,30.71999697,76.78000565,CH,24,CH
Chhattisgarh,2012,75,22.09042035,82.15998734,CG,1186,CG
NCT of Delhi,2012,6,28.6699929,77.23000403,DL,329,DL
Goa,2012,0,15.491997,73.81800065,GA,226,GA
Gujarat,2012,57,22.2587,71.1924,GJ,4640,GJ
Haryana,2012,129,28.45000633,77.01999101,HR,2075,HR
Himachal Pradesh,2012,24,31.10002545,77.16659704,HP,767,HP
Jammu & Kashmir,2012,53,34.29995933,74.46665849,JK,573,JK
Jharkhand,2012,438,23.80039349,86.41998572,JH,1050,JH
Karnataka,2012,145,12.57038129,76.91999711,KA,4304,KA
Kerala,2012,2,8.900372741,76.56999263,KL,2707,KL
Madhya Pradesh,2012,919,21.30039105,76.13001949,MP,3494,MP
Maharashtra,2012,482,19.25023195,73.16017493,MH,8607,MH
Manipur,2012,0,24.79997072,93.95001705,MN,0,MN
Meghalaya,2012,21,25.57049217,91.8800142,ML,20,ML
Mizoram,2012,29,23.71039899,92.72001461,MZ,37,MZ
Nagaland,2012,11,25.6669979,94.11657019,NL,0,NL
Odisha,2012,328,19.82042971,85.90001746,OD,1439,OD
Puducherry,2012,1,11.93499371,79.83000037,PY,147,PY
Punjab,2012,55,31.51997398,75.98000281,PB,1739,PB
Rajasthan,2012,367,26.44999921,74.63998124,RJ,4621,RJ
Sikkim,2012,2,27.3333303,88.6166475,SK,7,SK
Tamil Nadu,2012,731,12.92038576,79.15004187,TN,8043,TN
Telangana,2012,0,18.1124,79.0193,TS,0,TS
Tripura,2012,3,23.83540428,91.27999914,TR,148,TR
Uttar Pradesh,2012,2414,27.59998069,78.05000565,UP,2947,UP
Uttarakhand,2012,137,30.32040895,78.05000565,UK,231,UK
West Bengal,2012,0,22.58039044,88.32994665,WB,2397,WB
Andaman & Nicobar Island,2013,3,11.66702557,92.73598262,AN,36,AN
Andhra Pradesh,2013,379,14.7504291,78.57002559,AD,4448,AD
Arunanchal Pradesh,2013,15,27.10039878,93.61660071,AR,27,AR
Assam,2013,246,26.7499809,94.21666744,AS,1341,AS
Bihar,2013,790,25.78541445,87.4799727,BR,1205,BR
Chandigarh,2013,1,30.71999697,76.78000565,CH,5,CH
Chhattisgarh,2013,82,22.09042035,82.15998734,CG,1307,CG
NCT of Delhi,2013,6,28.6699929,77.23000403,DL,0,DL
Goa,2013,1,15.491997,73.81800065,GA,208,GA
Gujarat,2013,6,22.2587,71.1924,GJ,4498,GJ
Haryana,2013,398,28.45000633,77.01999101,HR,1635,HR
Himachal Pradesh,2013,30,31.10002545,77.16659704,HP,944,HP
Jammu & Kashmir,2013,141,34.29995933,74.46665849,JK,399,JK
Jharkhand,2013,241,23.80039349,86.41998572,JH,783,JH
Karnataka,2013,118,12.57038129,76.91999711,KA,5231,KA
Kerala,2013,1,8.900372741,76.56999263,KL,2683,KL
Madhya Pradesh,2013,1012,21.30039105,76.13001949,MP,5201,MP
Maharashtra,2013,479,19.25023195,73.16017493,MH,8587,MH
Manipur,2013,0,24.79997072,93.95001705,MN,0,MN
Meghalaya,2013,8,25.57049217,91.8800142,ML,18,ML
Mizoram,2013,7,23.71039899,92.72001461,MZ,46,MZ
Nagaland,2013,3,25.6669979,94.11657019,NL,0,NL
Odisha,2013,301,19.82042971,85.90001746,OD,1782,OD
Puducherry,2013,0,11.93499371,79.83000037,PY,227,PY
Punjab,2013,111,31.51997398,75.98000281,PB,1600,PB
Rajasthan,2013,696,26.44999921,74.63998124,RJ,4244,RJ
Sikkim,2013,1,27.3333303,88.6166475,SK,8,SK
Tamil Nadu,2013,718,12.92038576,79.15004187,TN,7343,TN
Telangana,2013,0,18.1124,79.0193,TS,0,TS
Tripura,2013,1,23.83540428,91.27999914,TR,136,TR
Uttar Pradesh,2013,658,27.59998069,78.05000565,UP,1321,UP
Uttarakhand,2013,10,30.32040895,78.05000565,UK,405,UK
West Bengal,2013,0,22.58039044,88.32994665,WB,797,WB
Andaman & Nicobar Island,2014,2,11.66702557,92.73598262,AN,10,AN
Andhra Pradesh,2014,193,14.7504291,78.57002559,AD,4190,AD
Arunanchal Pradesh,2014,7,27.10039878,93.61660071,AR,11,AR
Assam,2014,244,26.7499809,94.21666744,AS,1465,AS
Bihar,2014,890,25.78541445,87.4799727,BR,746,BR
Chandigarh,2014,0,30.71999697,76.78000565,CH,62,CH
Chhattisgarh,2014,93,22.09042035,82.15998734,CG,1750,CG
NCT of Delhi,2014,7,28.6699929,77.23000403,DL,0,DL
Goa,2014,1,15.491997,73.81800065,GA,217,GA
Gujarat,2014,18,22.2587,71.1924,GJ,4893,GJ
Haryana,2014,480,28.45000633,77.01999101,HR,1675,HR
Himachal Pradesh,2014,18,31.10002545,77.16659704,HP,1089,HP
Jammu & Kashmir,2014,97,34.29995933,74.46665849,JK,231,JK
Jharkhand,2014,288,23.80039349,86.41998572,JH,712,JH
Karnataka,2014,511,12.57038129,76.91999711,KA,6116,KA
Kerala,2014,10,8.900372741,76.56999263,KL,2538,KL
Madhya Pradesh,2014,915,21.30039105,76.13001949,MP,3850,MP
Maharashtra,2014,487,19.25023195,73.16017493,MH,7789,MH
Manipur,2014,0,24.79997072,93.95001705,MN,0,MN
Meghalaya,2014,12,25.57049217,91.8800142,ML,15,ML
Mizoram,2014,6,23.71039899,92.72001461,MZ,48,MZ
Nagaland,2014,25,25.6669979,94.11657019,NL,12,NL
Odisha,2014,258,19.82042971,85.90001746,OD,1622,OD
Puducherry,2014,21,11.93499371,79.83000037,PY,34,PY
Punjab,2014,277,31.51997398,75.98000281,PB,1727,PB
Rajasthan,2014,449,26.44999921,74.63998124,RJ,4774,RJ
Sikkim,2014,4,27.3333303,88.6166475,SK,8,SK
Tamil Nadu,2014,416,12.92038576,79.15004187,TN,7155,TN
Telangana,2014,314,18.1124,79.0193,TS,2156,TS
Tripura,2014,5,23.83540428,91.27999914,TR,123,TR
Uttar Pradesh,2014,569,27.59998069,78.05000565,UP,1155,UP
Uttarakhand,2014,351,30.32040895,78.05000565,UK,31,UK
West Bengal,2014,0,22.58039044,88.32994665,WB,1619,WB
Andaman & Nicobar Island,2015,30,11.66702557,92.73598262,AN,8,
Andhra Pradesh,2015,490,14.7504291,78.57002559,AD,4101,
Arunanchal Pradesh,2015,22,27.10039878,93.61660071,AR,12,
Assam,2015,611,26.7499809,94.21666744,AS,1281,
Bihar,2015,1457,25.78541445,87.4799727,BR,1366,
Chandigarh,2015,8,30.71999697,76.78000565,CH,61,
Chhattisgarh,2015,227,22.09042035,82.15998734,CG,1709,
NCT of Delhi,2015,40,28.6699929,77.23000403,DL,640,
Goa,2015,6,15.491997,73.81800065,GA,217,
Gujarat,2015,361,22.2587,71.1924,GJ,4861,
Haryana,2015,1092,28.45000633,77.01999101,HR,1674,
Himachal Pradesh,2015,50,31.10002545,77.16659704,HP,941,
Jammu & Kashmir,2015,375,34.29995933,74.46665849,JK,214,
Jharkhand,2015,1518,23.80039349,86.41998572,JH,780,
Karnataka,2015,298,12.57038129,76.91999711,KA,3964,
Kerala,2015,49,8.900372741,76.56999263,KL,2083,
Madhya Pradesh,2015,2665,21.30039105,76.13001949,MP,3244,
Maharashtra,2015,1345,19.25023195,73.16017493,MH,7758,
Manipur,2015,0,24.79997072,93.95001705,MN,0,
Meghalaya,2015,137,25.57049217,91.8800142,ML,41,
Mizoram,2015,15,23.71039899,92.72001461,MZ,18,
Nagaland,2015,2,25.6669979,94.11657019,NL,2,
Odisha,2015,972,19.82042971,85.90001746,OD,3160,
Puducherry,2015,5,11.93499371,79.83000037,PY,168,
Punjab,2015,118,31.51997398,75.98000281,PB,2001,
Rajasthan,2015,667,26.44999921,74.63998124,RJ,4920,
Sikkim,2015,30,27.3333303,88.6166475,SK,5,
Tamil Nadu,2015,818,12.92038576,79.15004187,TN,9380,
Telangana,2015,42,18.1124,79.0193,TS,4962,
Tripura,2015,13,23.83540428,91.27999914,TR,101,
Uttar Pradesh,2015,2403,27.59998069,78.05000565,UP,3347,
Uttarakhand,2015,6,30.32040895,78.05000565,UK,152,
West Bengal,2015,413,22.58039044,88.32994665,WB,1451,
Andaman & Nicobar Island,2016,27,11.66702557,92.73598262,AN,11,
Andhra Pradesh,2016,128,14.7504291,78.57002559,AD,5564,
Arunanchal Pradesh,2016,15,27.10039878,93.61660071,AR,41,
Assam,2016,352,26.7499809,94.21666744,AS,1094,
Bihar,2016,593,25.78541445,87.4799727,BR,1509,
Chandigarh,2016,9,30.71999697,76.78000565,CH,142,
Chhattisgarh,2016,145,22.09042035,82.15998734,CG,1735,
NCT of Delhi,2016,164,28.6699929,77.23000403,DL,318,
Goa,2016,3,15.491997,73.81800065,GA,306,
Gujarat,2016,64,22.2587,71.1924,GJ,4611,
Haryana,2016,529,28.45000633,77.01999101,HR,1113,
Himachal Pradesh,2016,72,31.10002545,77.16659704,HP,187,
Jammu & Kashmir,2016,47,34.29995933,74.46665849,JK,432,
Jharkhand,2016,543,23.80039349,86.41998572,JH,440,
Karnataka,2016,396,12.57038129,76.91999711,KA,8037,
Kerala,2016,133,8.900372741,76.56999263,KL,3300,
Madhya Pradesh,2016,3083,21.30039105,76.13001949,MP,5188,
Maharashtra,2016,226,19.25023195,73.16017493,MH,7787,
Manipur,2016,71,24.79997072,93.95001705,MN,12,
Meghalaya,2016,35,25.57049217,91.8800142,ML,35,
Mizoram,2016,27,23.71039899,92.72001461,MZ,16,
Nagaland,2016,13,25.6669979,94.11657019,NL,6,
Odisha,2016,1255,19.82042971,85.90001746,OD,2098,
Puducherry,2016,82,11.93499371,79.83000037,PY,150,
Punjab,2016,317,31.51997398,75.98000281,PB,1923,
Rajasthan,2016,673,26.44999921,74.63998124,RJ,6242,
Sikkim,2016,12,27.3333303,88.6166475,SK,26,
Tamil Nadu,2016,531,12.92038576,79.15004187,TN,11444,
Telangana,2016,202,18.1124,79.0193,TS,3541,
Tripura,2016,5,23.83540428,91.27999914,TR,129,
Uttar Pradesh,2016,4633,27.59998069,78.05000565,UP,5471,
Uttarakhand,2016,40,30.32040895,78.05000565,UK,437,
West Bengal,2016,462,22.58039044,88.32994665,WB,535,
Andaman & Nicobar Island,2017,13,11.66702557,92.73598262,AN,10,
Andhra Pradesh,2017,2064,14.7504291,78.57002559,AD,4190,
Arunanchal Pradesh,2017,19,27.10039878,93.61660071,AR,11,
Assam,2017,373,26.7499809,94.21666744,AS,1465,
Bihar,2017,0,25.78541445,87.4799727,BR,746,
Chandigarh,2017,10,30.71999697,76.78000565,CH,62,
Chhattisgarh,2017,86,22.09042035,82.15998734,CG,1750,
NCT of Delhi,2017,124,28.6699929,77.23000403,DL,0,
Goa,2017,10,15.491997,73.81800065,GA,217,
Gujarat,2017,65,22.2587,71.1924,GJ,4893,
Haryana,2017,180,28.45000633,77.01999101,HR,1675,
Himachal Pradesh,2017,214,31.10002545,77.16659704,HP,1089,
Jammu & Kashmir,2017,1,34.29995933,74.46665849,JK,231,
Jharkhand,2017,801,23.80039349,86.41998572,JH,712,
Karnataka,2017,169,12.57038129,76.91999711,KA,6116,
Kerala,2017,133,8.900372741,76.56999263,KL,2538,
Madhya Pradesh,2017,1049,21.30039105,76.13001949,MP,3850,
Maharashtra,2017,863,19.25023195,73.16017493,MH,7789,
Manipur,2017,44,24.79997072,93.95001705,MN,0,
Meghalaya,2017,132,25.57049217,91.8800142,ML,15,
Mizoram,2017,16,23.71039899,92.72001461,MZ,48,
Nagaland,2017,157,25.6669979,94.11657019,NL,12,
Odisha,2017,1533,19.82042971,85.90001746,OD,1622,
Puducherry,2017,5,11.93499371,79.83000037,PY,34,
Punjab,2017,129,31.51997398,75.98000281,PB,1727,
Rajasthan,2017,421,26.44999921,74.63998124,RJ,4774,
Sikkim,2017,32,27.3333303,88.6166475,SK,8,
Tamil Nadu,2017,1833,12.92038576,79.15004187,TN,7155,
Telangana,2017,163,18.1124,79.0193,TS,2156,
Tripura,2017,11,23.83540428,91.27999914,TR,123,
Uttar Pradesh,2017,3336,27.59998069,78.05000565,UP,1155,
Uttarakhand,2017,56,30.32040895,78.05000565,UK,31,
West Bengal,2017,16,22.58039044,88.32994665,WB,1619,
Andaman & Nicobar Island,2018,20,11.66702557,92.73598262,AN,19,
Andhra Pradesh,2018,1345,14.7504291,78.57002559,AD,7556,
Arunanchal Pradesh,2018,55,27.10039878,93.61660071,AR,175,
Assam,2018,377,26.7499809,94.21666744,AS,2966,
Bihar,2018,10,25.78541445,87.4799727,BR,6729,
Chandigarh,2018,12,30.71999697,76.78000565,CH,98,
Chhattisgarh,2018,216,22.09042035,82.15998734,CG,4592,
NCT of Delhi,2018,333,28.6699929,77.23000403,DL,1690,
Goa,2018,9,15.491997,73.81800065,GA,262,
Gujarat,2018,106,22.2587,71.1924,GJ,7996,
Haryana,2018,474,28.45000633,77.01999101,HR,5118,
Himachal Pradesh,2018,322,31.10002545,77.16659704,HP,1208,
Jammu & Kashmir,2018,20,34.29995933,74.46665849,JK,984,
Jharkhand,2018,517,23.80039349,86.41998572,JH,3542,
Karnataka,2018,139,12.57038129,76.91999711,KA,10990,
Kerala,2018,157,8.900372741,76.56999263,KL,4303,
Madhya Pradesh,2018,893,21.30039105,76.13001949,MP,10706,
Maharashtra,2018,188,19.25023195,73.16017493,MH,13261,
Manipur,2018,74,24.79997072,93.95001705,MN,134,
Meghalaya,2018,117,25.57049217,91.8800142,ML,182,
Mizoram,2018,16,23.71039899,92.72001461,MZ,45,
Nagaland,2018,83,25.6669979,94.11657019,NL,39,
Odisha,2018,1220,19.82042971,85.90001746,OD,5315,
Puducherry,2018,14,11.93499371,79.83000037,PY,226,
Punjab,2018,112,31.51997398,75.98000281,PB,4740,
Rajasthan,2018,146,26.44999921,74.63998124,RJ,10320,
Sikkim,2018,2,27.3333303,88.6166475,SK,85,
Tamil Nadu,2018,1128,12.92038576,79.15004187,TN,12216,
Telangana,2018,182,18.1124,79.0193,TS,6603,
Tripura,2018,28,23.83540428,91.27999914,TR,213,
Uttar Pradesh,2018,3595,27.59998069,78.05000565,UP,22256,
Uttarakhand,2018,20,30.32040895,78.05000565,UK,1047,
West Bengal,2018,79,22.58039044,88.32994665,WB,5711,
Andaman & Nicobar Island,2019,25,11.66702557,92.73598262,AN,36,
Andhra Pradesh,2019,594,14.7504291,78.57002559,AD,4448,
Arunanchal Pradesh,2019,11,27.10039878,93.61660071,AR,27,
Assam,2019,613,26.7499809,94.21666744,AS,1341,
Bihar,2019,1680,25.78541445,87.4799727,BR,1205,
Chandigarh,2019,11,30.71999697,76.78000565,CH,5,
Chhattisgarh,2019,335,22.09042035,82.15998734,CG,1307,
NCT of Delhi,2019,51,28.6699929,77.23000403,DL,0,
Goa,2019,9,15.491997,73.81800065,GA,208,
Gujarat,2019,42,22.2587,71.1924,GJ,4498,
Haryana,2019,1095,28.45000633,77.01999101,HR,1635,
Himachal Pradesh,2019,74,31.10002545,77.16659704,HP,944,
Jammu & Kashmir,2019,388,34.29995933,74.46665849,JK,399,
Jharkhand,2019,611,23.80039349,86.41998572,JH,783,
Karnataka,2019,2207,12.57038129,76.91999711,KA,5231,
Kerala,2019,35,8.900372741,76.56999263,KL,2683,
Madhya Pradesh,2019,3540,21.30039105,76.13001949,MP,5201,
Maharashtra,2019,1251,19.25023195,73.16017493,MH,8587,
Manipur,2019,0,24.79997072,93.95001705,MN,0,
Meghalaya,2019,25,25.57049217,91.8800142,ML,18,
Mizoram,2019,16,23.71039899,92.72001461,MZ,46,
Nagaland,2019,91,25.6669979,94.11657019,NL,0,
Odisha,2019,637,19.82042971,85.90001746,OD,1782,
Puducherry,2019,73,11.93499371,79.83000037,PY,227,
Punjab,2019,442,31.51997398,75.98000281,PB,1600,
Rajasthan,2019,915,26.44999921,74.63998124,RJ,4244,
Sikkim,2019,8,27.3333303,88.6166475,SK,8,
Tamil Nadu,2019,1416,12.92038576,79.15004187,TN,7343,
Telangana,2019,968,18.1124,79.0193,TS,0,
Tripura,2019,12,23.83540428,91.27999914,TR,136,
Uttar Pradesh,2019,1232,27.59998069,78.05000565,UP,1321,
Uttarakhand,2019,508,30.32040895,78.05000565,UK,405,
West Bengal,2019,0,22.58039044,88.32994665,WB,797,
